actor,category,cell_id,cell_label,cytokine_id,cytokine_label,num_papers,score
cytokine,Positive,CL_0000084,T cell,CID_67,IFNA,24,0.6
cytokine,Unknown,CL_0000625,"CD8-positive, alpha-beta T cell",CID_110,IL2,23,2
cytokine,Unknown,CL_0000084,T cell,CID_67,IFNA,23,1.92
cytokine,Unknown,CL_0000084,T cell,CID_133,IL6,23,0.74
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_95,IL12,22,2.76
cell,Positive,CL_0000084,T cell,CID_103,IL17A,21,2.47
cytokine,Positive,CL_0000084,T cell,CID_173,TNFSF9,21,2.42
cell,Positive,CL_0000084,T cell,CID_52,CXCL8,20,0.51
cytokine,Positive,CL_0000910,cytotoxic T cell,CID_110,IL2,20,4.73
cell,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_93,IL10,19,1.34
cell,Positive,CL_0000912,helper T cell,CID_110,IL2,19,8.59
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_112,IL21,19,7.71
cytokine,Positive,CL_0000893,thymocyte,CID_110,IL2,18,2.06
cytokine,Positive,CL_0000084,T cell,CID_108,IL18,18,1.13
cytokine,Positive,CL_0000545,T-helper 1 cell,CID_83,IFNG,18,0.68
cytokine,Unknown,CL_0000084,T cell,CID_63,CSF2,18,1.08
cytokine,Unknown,CL_0000084,T cell,CID_8,CD40LG,18,1.93
cytokine,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_131,IL4,18,0.85
cytokine,Unknown,CL_0000084,T cell,CID_173,TNFSF9,18,7.07
cell,Positive,CL_0000899,T-helper 17 cell,CID_103,IL17A,18,54.04
cytokine,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_112,IL21,17,5.76
cytokine,Positive,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_162,TGFB,17,1.59
cell,Positive,CL_0000912,helper T cell,CID_102,IL17,17,44.59
cytokine,Unknown,CL_0000084,T cell,CID_87,IL1,17,0.96
cell,Positive,CL_0000910,cytotoxic T cell,CID_83,IFNG,17,4.11
cytokine,Unknown,CL_0000625,"CD8-positive, alpha-beta T cell",CID_95,IL12,16,5.28
cell,Positive,CL_0000084,T cell,CID_98,IL13,16,2.55
cell,Positive,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_102,IL17,16,6.78
cytokine,Negative,CL_0000084,T cell,CID_174,TNF,16,0.62
cytokine,Unknown,CL_0000084,T cell,CID_100,IL15,16,2.42
cytokine,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_95,IL12,16,1.51
cytokine,Negative,CL_0000084,T cell,CID_95,IL12,16,2.36
cell,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_174,TNF,16,0.58
cell,Positive,CL_0000084,T cell,CID_112,IL21,16,1.49
cell,Positive,CL_0000545,T-helper 1 cell,CID_93,IL10,16,2.35
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_133,IL6,15,0.86
cytokine,Unknown,CL_0000624,"CD4-positive, alpha-beta T cell",CID_93,IL10,15,2.06
cytokine,Negative,CL_0000084,T cell,CID_163,TGFB1,15,1.69
cytokine,Unknown,CL_0000545,T-helper 1 cell,CID_93,IL10,15,5.23
cytokine,Unknown,CL_0000084,T cell,CID_102,IL17,15,1.49
cell,Positive,CL_0000813,memory T cell,CID_83,IFNG,15,10.27
cytokine,Unknown,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_162,TGFB,15,5.57
cytokine,Positive,CL_0000893,thymocyte,CID_87,IL1,15,6.45
cytokine,Unknown,CL_0000084,T cell,CID_20,CCL2,14,0.92
cytokine,Unknown,CL_0000625,"CD8-positive, alpha-beta T cell",CID_112,IL21,14,15.9
cytokine,Negative,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_162,TGFB,14,11.2
cytokine,Unknown,CL_0000625,"CD8-positive, alpha-beta T cell",CID_100,IL15,14,10.79
cell,Positive,CL_0000798,gamma-delta T cell,CID_83,IFNG,14,10.92
cell,Positive,CL_0000084,T cell,CID_140,LTA,14,5.95
cytokine,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_93,IL10,14,0.59
cytokine,Unknown,CL_0000084,T cell,CID_52,CXCL8,14,0.74
cytokine,Unknown,CL_0000084,T cell,CID_112,IL21,13,2.71
cell,Positive,CL_0000901,Tr1 cell,CID_93,IL10,13,33.83
cytokine,Positive,CL_0000545,T-helper 1 cell,CID_93,IL10,13,1.29
cell,Positive,CL_0000815,regulatory T cell,CID_93,IL10,13,10.08
cytokine,Unknown,CL_0000084,T cell,CID_38,CXCL10,13,4.9
cytokine,Positive,CL_0000084,T cell,CID_163,TGFB1,13,0.17
cytokine,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_95,IL12,13,1.14
cytokine,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_162,TGFB,13,0.7
cytokine,Unknown,CL_0000624,"CD4-positive, alpha-beta T cell",CID_131,IL4,13,2.14
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_103,IL17A,12,5.92
cytokine,Negative,CL_0000545,T-helper 1 cell,CID_93,IL10,12,9.53
cell,Positive,CL_0000898,naive T cell,CID_110,IL2,12,7.46
cell,Positive,CL_0000545,T-helper 1 cell,CID_110,IL2,12,0.96
cytokine,Negative,CL_0000084,T cell,CID_81,IFNB1,12,6.37
cytokine,Unknown,CL_0000624,"CD4-positive, alpha-beta T cell",CID_134,IL7,12,6.71
cytokine,Unknown,CL_0000625,"CD8-positive, alpha-beta T cell",CID_173,TNFSF9,12,21.55
cytokine,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_93,IL10,12,0.59
cell,Positive,CL_0000546,T-helper 2 cell,CID_83,IFNG,12,0.99
cytokine,Unknown,CL_0000624,"CD4-positive, alpha-beta T cell",CID_95,IL12,12,4.27
cell,Positive,CL_0000814,mature NK T cell,CID_83,IFNG,12,7.2
cytokine,Negative,CL_0000084,T cell,CID_134,IL7,12,3.22
cytokine,Positive,CL_0000084,T cell,CID_40,CXCL12,12,0.66
cell,Positive,CL_0000546,T-helper 2 cell,CID_93,IL10,11,2.39
cytokine,Positive,CL_0000084,T cell,CID_81,IFNB1,11,0.73
cell,Positive,CL_0000911,effector T cell,CID_83,IFNG,11,4.4
cell,Positive,CL_0000545,T-helper 1 cell,CID_102,IL17,11,5.12
cytokine,Positive,CL_0000546,T-helper 2 cell,CID_128,IL33,11,13.53
cell,Positive,CL_0000084,T cell,CID_125,IL3,11,0.99
cytokine,Unknown,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_93,IL10,11,3.28
cytokine,Unknown,CL_0000910,cytotoxic T cell,CID_83,IFNG,11,6.31
cytokine,Negative,CL_0000625,"CD8-positive, alpha-beta T cell",CID_83,IFNG,11,1.51
cell,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_134,IL7,10,2.78
cytokine,Positive,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_133,IL6,10,0.85
cytokine,Negative,CL_0000624,"CD4-positive, alpha-beta T cell",CID_83,IFNG,10,1.18
cell,Positive,CL_0002061,T-helper 9 cell,CID_135,IL9,10,1161.35
cytokine,Positive,CL_0000084,T cell,CID_62,CSF3,10,0.17
cytokine,Negative,CL_0000084,T cell,CID_131,IL4,10,0.94
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_132,IL5,10,2.13
cell,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_131,IL4,10,1.05
cell,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_102,IL17,10,2.12
cytokine,Unknown,CL_0000084,T cell,CID_40,CXCL12,10,1.55
cytokine,Unknown,CL_0000899,T-helper 17 cell,CID_102,IL17,10,23.8
cytokine,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_134,IL7,10,2.4
cell,Positive,CL_0000084,T cell,CID_41,CXCL13,10,3.34
cytokine,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_134,IL7,10,1.62
cytokine,Unknown,CL_0000545,T-helper 1 cell,CID_131,IL4,10,4.6
cell,Positive,CL_0000815,regulatory T cell,CID_163,TGFB1,10,11.5
cytokine,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_173,TNFSF9,10,6.16
cytokine,Negative,CL_0000084,T cell,CID_100,IL15,10,3.45
cytokine,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_131,IL4,10,0.55
cytokine,Positive,CL_0000084,T cell,CID_112,IL21,9,0.6
cytokine,Negative,CL_0000084,T cell,CID_173,TNFSF9,9,7.24
cytokine,Negative,CL_0000899,T-helper 17 cell,CID_500,IL27,9,233.6
cytokine,Unknown,CL_0000893,thymocyte,CID_110,IL2,9,3.61
cell,Positive,CL_0000893,thymocyte,CID_131,IL4,9,3.72
cytokine,Negative,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_110,IL2,9,3.34
cytokine,Unknown,CL_0000624,"CD4-positive, alpha-beta T cell",CID_102,IL17,9,3.91
cytokine,Positive,CL_0000546,T-helper 2 cell,CID_93,IL10,9,1.47
cell,Positive,CL_0000917,Tc1 cell,CID_83,IFNG,9,17.74
cell,Positive,CL_0000084,T cell,CID_31,CCL5,9,3.29
cytokine,Unknown,CL_0000546,T-helper 2 cell,CID_95,IL12,9,9.6
cytokine,Unknown,CL_0000084,T cell,CID_81,IFNB1,9,2.1
cytokine,Unknown,CL_0000084,T cell,CID_108,IL18,9,2.08
cytokine,Positive,CL_0000084,T cell,CID_20,CCL2,9,0.16
cell,Positive,CL_0001042,T-helper 22 cell,CID_113,IL22,9,570.26
cytokine,Negative,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_83,IFNG,8,2.06
cytokine,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_163,TGFB1,8,0.47
cytokine,Negative,CL_0000624,"CD4-positive, alpha-beta T cell",CID_110,IL2,8,1.36
cytokine,Unknown,CL_0000893,thymocyte,CID_87,IL1,8,10.62
cell,Positive,CL_0000546,T-helper 2 cell,CID_132,IL5,8,7.2
cytokine,Unknown,CL_0000815,regulatory T cell,CID_110,IL2,8,8.03
cell,Positive,CL_0000084,T cell,CID_113,IL22,8,1.56
cytokine,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_133,IL6,8,0.31
cell,Positive,CL_0000084,T cell,CID_20,CCL2,8,0.21
cell,Positive,CL_0000794,"CD8-positive, alpha-beta cytotoxic T cell",CID_83,IFNG,8,6.31
cytokine,Negative,CL_0000624,"CD4-positive, alpha-beta T cell",CID_93,IL10,8,2.5
cytokine,Positive,CL_0000901,Tr1 cell,CID_93,IL10,8,14.11
cytokine,Unknown,CL_0000084,T cell,CID_163,TGFB1,8,0.37
cell,Positive,CL_0000898,naive T cell,CID_131,IL4,8,12.3
cell,Positive,CL_0000546,T-helper 2 cell,CID_128,IL33,8,14.52
cytokine,Positive,CL_0000084,T cell,CID_38,CXCL10,8,0.97
cytokine,Negative,CL_0000084,T cell,CID_63,CSF2,8,0.99
cytokine,Positive,CL_0000545,T-helper 1 cell,CID_108,IL18,7,4.63
cell,Positive,CL_0000912,helper T cell,CID_131,IL4,7,6.96
cell,Positive,CL_0000545,T-helper 1 cell,CID_131,IL4,7,1.23
cell,Positive,CL_0000912,helper T cell,CID_83,IFNG,7,2.19
cytokine,Unknown,CL_0000625,"CD8-positive, alpha-beta T cell",CID_174,TNF,7,0.6
cell,Positive,CL_0000084,T cell,CID_101,IL16,7,3.48
cell,Positive,CL_0000546,T-helper 2 cell,CID_98,IL13,7,11.76
cytokine,Positive,CL_0000545,T-helper 1 cell,CID_131,IL4,7,0.84
cytokine,Unknown,CL_0000545,T-helper 1 cell,CID_108,IL18,7,16.2
cytokine,Unknown,CL_0000546,T-helper 2 cell,CID_93,IL10,7,3.6
cytokine,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_174,TNF,7,0.15
cytokine,Positive,CL_0000899,T-helper 17 cell,CID_133,IL6,7,1.49
cytokine,Unknown,CL_0000911,effector T cell,CID_83,IFNG,7,6.64
cytokine,Unknown,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_133,IL6,7,2.37
cell,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_112,IL21,7,3.58
cytokine,Positive,CL_0000084,T cell,CID_125,IL3,7,0.43
cytokine,Unknown,CL_0000625,"CD8-positive, alpha-beta T cell",CID_93,IL10,7,1.27
cytokine,Negative,CL_0000546,T-helper 2 cell,CID_83,IFNG,7,3.11
cytokine,Unknown,CL_0000893,thymocyte,CID_134,IL7,7,19.39
cell,Positive,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_163,TGFB1,7,1.31
cytokine,Positive,CL_0000798,gamma-delta T cell,CID_110,IL2,7,4.49
cytokine,Unknown,CL_0000625,"CD8-positive, alpha-beta T cell",CID_162,TGFB,7,1.22
cell,Positive,CL_0000909,"CD8-positive, alpha-beta memory T cell",CID_83,IFNG,6,8.4
cytokine,Unknown,CL_0000084,T cell,CID_132,IL5,6,0.69
cytokine,Unknown,CL_0000815,regulatory T cell,CID_93,IL10,6,11.03
cytokine,Positive,CL_0000893,thymocyte,CID_174,TNF,6,0.68
cytokine,Negative,CL_0000910,cytotoxic T cell,CID_110,IL2,6,11.31
cytokine,Unknown,CL_0000084,T cell,CID_500,IL27,6,2.84
cytokine,Unknown,CL_0000546,T-helper 2 cell,CID_83,IFNG,6,1.17
cytokine,Positive,CL_0000893,thymocyte,CID_134,IL7,6,4.75
cytokine,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_63,CSF2,6,0.47
cytokine,Unknown,CL_0000624,"CD4-positive, alpha-beta T cell",CID_163,TGFB1,6,1.22
cytokine,Negative,CL_0000084,T cell,CID_67,IFNA,6,1.14
cytokine,Positive,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_163,TGFB1,6,0.76
cytokine,Negative,CL_0000546,T-helper 2 cell,CID_95,IL12,6,14.59
cytokine,Positive,CL_0000899,T-helper 17 cell,CID_102,IL17,6,4.08
cell,Positive,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_130,IL35,6,63.78
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_113,IL22,6,6.84
cytokine,Unknown,CL_0000084,T cell,CID_44,CXCL16,6,13.31
cytokine,Positive,CL_0000084,T cell,CID_22,CCL21,6,2.8
cytokine,Positive,CL_0000910,cytotoxic T cell,CID_83,IFNG,6,0.98
cell,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_162,TGFB,6,0.44
cytokine,Negative,CL_0000625,"CD8-positive, alpha-beta T cell",CID_93,IL10,6,2.17
cytokine,Negative,CL_0000624,"CD4-positive, alpha-beta T cell",CID_131,IL4,6,2.25
cytokine,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_162,TGFB,6,0.26
cytokine,Unknown,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_163,TGFB1,6,3.1
cytokine,Unknown,CL_0000625,"CD8-positive, alpha-beta T cell",CID_38,CXCL10,6,11.51
cytokine,Positive,CL_0000814,mature NK T cell,CID_95,IL12,6,13.36
cell,Positive,CL_0000084,T cell,CID_141,CSF1,6,0.29
cytokine,Unknown,CL_0000910,cytotoxic T cell,CID_110,IL2,6,4.96
cytokine,Positive,CL_0000545,T-helper 1 cell,CID_500,IL27,6,9.06
cytokine,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_101,IL16,6,8.87
cytokine,Negative,CL_0000546,T-helper 2 cell,CID_131,IL4,6,8.44
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_163,TGFB1,6,0.51
cytokine,Negative,CL_0000893,thymocyte,CID_87,IL1,6,18.14
cell,Positive,CL_0000899,T-helper 17 cell,CID_21,CCL20,6,55.28
cytokine,Positive,CL_0000815,regulatory T cell,CID_110,IL2,6,2.01
cytokine,Negative,CL_0000545,T-helper 1 cell,CID_95,IL12,6,13.18
cell,Positive,CL_0000902,induced T-regulatory cell,CID_93,IL10,6,13.78
cytokine,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_128,IL33,6,2.66
cytokine,Positive,CL_0000084,T cell,CID_66,IFN1,6,0.65
cytokine,Positive,CL_0000084,T cell,CID_171,TNFSF4,6,3.52
cytokine,Unknown,CL_0000546,T-helper 2 cell,CID_98,IL13,6,23.9
cytokine,Negative,CL_0000625,"CD8-positive, alpha-beta T cell",CID_110,IL2,6,1.19
cytokine,Negative,CL_0000893,thymocyte,CID_110,IL2,6,5.49
cytokine,Unknown,CL_0000084,T cell,CID_22,CCL21,6,11.42
cell,Positive,CL_0000911,effector T cell,CID_110,IL2,6,3.46
cell,Positive,CL_0000899,T-helper 17 cell,CID_113,IL22,6,28.1
cytokine,Positive,CL_0000546,T-helper 2 cell,CID_83,IFNG,5,0.33
cytokine,Unknown,CL_0000625,"CD8-positive, alpha-beta T cell",CID_131,IL4,5,1.14
cytokine,Positive,CL_0000902,induced T-regulatory cell,CID_162,TGFB,5,7.32
cytokine,Negative,CL_0000084,T cell,CID_8,CD40LG,5,1.22
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_63,CSF2,5,0.5
cytokine,Negative,CL_0000084,T cell,CID_40,CXCL12,5,1.77
cytokine,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_67,IFNA,5,0.73
cytokine,Unknown,CL_0000899,T-helper 17 cell,CID_112,IL21,5,25.05
cell,Positive,CL_0000084,T cell,CID_126,IL31,5,8.35
cytokine,Positive,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_62,CSF3,5,0.82
cytokine,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_500,IL27,5,3.44
cytokine,Unknown,CL_0000084,T cell,CID_89,IL1B,5,0.3
cytokine,Unknown,CL_0000899,T-helper 17 cell,CID_114,IL23,5,94.08
cytokine,Positive,CL_0000084,T cell,CID_128,IL33,5,0.37
cell,Positive,CL_0000545,T-helper 1 cell,CID_162,TGFB,5,0.81
cytokine,Negative,CL_0000546,T-helper 2 cell,CID_93,IL10,5,5.86
cell,Positive,CL_0000899,T-helper 17 cell,CID_83,IFNG,5,0.6
cytokine,Unknown,CL_0000084,T cell,CID_31,CCL5,5,4.33
cytokine,Negative,CL_0000084,T cell,CID_133,IL6,5,0.35
cytokine,Positive,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_83,IFNG,5,0.16
cytokine,Unknown,CL_0000899,T-helper 17 cell,CID_133,IL6,5,3.72
cytokine,Positive,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_93,IL10,5,0.43
cytokine,Unknown,CL_0000899,T-helper 17 cell,CID_162,TGFB,5,4.12
cytokine,Unknown,CL_0000911,effector T cell,CID_93,IL10,5,12.52
cytokine,Negative,CL_0000545,T-helper 1 cell,CID_131,IL4,5,4.76
cytokine,Unknown,CL_0000084,T cell,CID_171,TNFSF4,5,10.27
cytokine,Unknown,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_83,IFNG,5,0.57
cell,Positive,CL_0000899,T-helper 17 cell,CID_93,IL10,5,1.58
cell,Positive,CL_0002038,T follicular helper cell,CID_112,IL21,5,202.47
cytokine,Unknown,CL_0000084,T cell,CID_135,IL9,5,5.23
cytokine,Unknown,CL_0000624,"CD4-positive, alpha-beta T cell",CID_100,IL15,5,3.32
cytokine,Unknown,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_134,IL7,5,5.62
cell,Positive,CL_0000814,mature NK T cell,CID_131,IL4,5,9.51
cytokine,Positive,CL_0000546,T-helper 2 cell,CID_118,IL25,5,30.31
cell,Positive,CL_0000893,thymocyte,CID_133,IL6,5,1.84
cytokine,Negative,CL_0000625,"CD8-positive, alpha-beta T cell",CID_131,IL4,5,2.17
cell,Positive,CL_0000793,"CD4-positive, alpha-beta intraepithelial T cell",CID_83,IFNG,5,6.57
cytokine,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_108,IL18,5,1.56
cell,Positive,CL_0000902,induced T-regulatory cell,CID_162,TGFB,5,10.81
cytokine,Positive,CL_0000545,T-helper 1 cell,CID_110,IL2,5,0.27
cytokine,Unknown,CL_0000625,"CD8-positive, alpha-beta T cell",CID_134,IL7,5,2.99
cytokine,Positive,CL_0000545,T-helper 1 cell,CID_97,IL12B,5,22.07
cytokine,Unknown,CL_0000624,"CD4-positive, alpha-beta T cell",CID_67,IFNA,5,1.83
cytokine,Positive,CL_0000084,T cell,CID_132,IL5,5,0.16
cytokine,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_8,CD40LG,5,0.67
cytokine,Positive,CL_0000815,regulatory T cell,CID_93,IL10,5,2.63
cytokine,Unknown,CL_0000545,T-helper 1 cell,CID_110,IL2,5,0.95
cytokine,Positive,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_100,IL15,5,2.48
cytokine,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_114,IL23,5,4.09
cytokine,Unknown,CL_0000084,T cell,CID_62,CSF3,5,0.3
cytokine,Negative,CL_0000624,"CD4-positive, alpha-beta T cell",CID_134,IL7,5,5.88
