id,src,sym,lbl,spid,extid,priority,prefid,enabled
CK683C514A32413D5D,transform,(IFN) alpha21,IFN-α21,1,,10,CK3EB78699770E9792,True
CK6FFD6F595C033A2A,transform,(IFN) alpha4,IFN-α4,1,,10,CK73B07B75DDF82673,True
CKF919957BD4DBC25A,transform,(IFN) alpha5,IFN-α5,1,,10,CK95CA8EFCDB4E45C9,True
CK37EDED2CC7A03D21,transform,(IFN) alpha6,IFN-α6,1,,10,CK5A9F70227C9DC426,True
CKE16076CE43676BFC,transform,(IFN) alpha7,IFN-α7,1,,10,CK959A597E53E1A54D,True
CKA1D27855DE19E6BE,transform,(IFN) alpha8,IFN-α8,1,,10,CKDE7112F88F62FD80,True
CKF4601ECA7A66AFCB,transform,(IFN) b,IFN-β,1,,10,CK43F0C2FBA6152A5F,True
CK33AE0FEFDF00D06B,transform,(IFN) b1,IFN-β1,1,,10,CKDAFFEFAAAA175C48,True
CKD14C909248296588,transform,(IFN) beta,IFN-β,1,,10,CK43F0C2FBA6152A5F,True
CK46FC4BDF9B3A6172,transform,(IFN) beta1,IFN-β1,1,,10,CKDAFFEFAAAA175C48,True
CK833DBD3CC0294FEA,transform,(IFN) e,IFN-ε,1,,10,CKBD9B4EE8B28E077A,True
CK4EF799AAA84B38FE,transform,(IFN) epsilon,IFN-ε,1,,10,CKBD9B4EE8B28E077A,True
CK27080E286065B3C6,transform,(IFN) g,IFN-γ,1,,10,CKEF3883BE9F74024F,True
CKE0B9163A8DAECB0E,transform,(IFN) gamma,IFN-γ,1,,10,CKEF3883BE9F74024F,True
CKFE9CEA543E84F7E8,transform,(IFN) k,IFN-κ,1,,10,CK680E34C75EA5288D,True
CK6AA70C6D12C69D45,transform,(IFN) kappa,IFN-κ,1,,10,CK680E34C75EA5288D,True
CKAB258724FCA4D27F,transform,(IFN) o,IFN-ω,1,,10,CK802BFF4CE89E4F9B,True
CK3DC6CE5FC2E5DE2D,transform,(IFN) omega,IFN-ω,1,,10,CK802BFF4CE89E4F9B,True
CKB85E595F9211DE42,transform,(IFN) α,IFN-α,1,,10,CK1050C00EDF97BFF2,True
CKB389305E22ED0F7E,transform,(IFN) α1,IFN-α1,1,,10,CKBFF71366B70E4D66,True
CKCBB8A079A8CE28AD,transform,(IFN) α10,IFN-α10,1,,10,CK01195F8C753113B6,True
CK5DF8A07CF890DEFF,transform,(IFN) α13,IFN-α13,1,,10,CKFF4CE5FD055AC464,True
CK765A1507039069DE,transform,(IFN) α14,IFN-α14,1,,10,CK855FCB1F18610463,True
CK86FF7438A79301E5,transform,(IFN) α16,IFN-α16,1,,10,CKF5B6EDF66B141554,True
CK3209DB38F6195713,transform,(IFN) α17,IFN-α17,1,,10,CKD351C36948C20F0E,True
CKEC28B0A7C9DCBE90,transform,(IFN) α2,IFN-α2,1,,10,CKD07446D184B98C33,True
CKDEB943E520ADEF90,transform,(IFN) α21,IFN-α21,1,,10,CK3EB78699770E9792,True
CK3339D9F3A24C461A,transform,(IFN) α4,IFN-α4,1,,10,CK73B07B75DDF82673,True
CKAFE8ECBFE10A8228,transform,(IFN) α5,IFN-α5,1,,10,CK95CA8EFCDB4E45C9,True
CK0DF8FB04C5A8BC05,transform,(IFN) α6,IFN-α6,1,,10,CK5A9F70227C9DC426,True
CK9D7BA742CE983707,transform,(IFN) α7,IFN-α7,1,,10,CK959A597E53E1A54D,True
CK8A66A615721A42D3,transform,(IFN) α8,IFN-α8,1,,10,CKDE7112F88F62FD80,True
CK002BB3304464C313,transform,(IFN) β,IFN-β,1,,10,CK43F0C2FBA6152A5F,True
CKAD37FD08BA7A2DF9,transform,(IFN) β1,IFN-β1,1,,10,CKDAFFEFAAAA175C48,True
CK8FAB99D623C11005,transform,(IFN) γ,IFN-γ,1,,10,CKEF3883BE9F74024F,True
CKCD591E212370CFD6,transform,(IFN) ε,IFN-ε,1,,10,CKBD9B4EE8B28E077A,True
CKF4962DCBA43D29F0,transform,(IFN) κ,IFN-κ,1,,10,CK680E34C75EA5288D,True
CK811930EAD63FDD28,transform,(IFN) ω,IFN-ω,1,,10,CK802BFF4CE89E4F9B,True
CK8AD0424A8EC627B3,transform,(IFN)-1,IFN-1,1,,10,CK3123548B749F2BEC,True
CK7DF4224B30D52F4A,transform,(IFN)-AR1,IFN-AR1,1,,10,CK29DF0EE19A802804,True
CKC6E5041FA7898250,transform,(IFN)-AR2,IFN-AR2,1,,10,CK889C78943FC23083,True
CK61007BDCD902AD66,transform,(IFN)-CDw119,IFN-CDw119,1,,10,CKA119E7E918C6B76B,True
CK62A630598E1A9784,transform,(IFN)-GR2,IFN-GR2,1,,10,CK29C31FC3C80D010F,True
CK30BA64B6E344416D,transform,(IFN)-IL-18,IFN-IL-18,1,,10,CK10C9518C520DF4AF,True
CK0093DA11D8A60AB4,transform,(IFN)-IL-28A,IFN-IL-28A,1,,10,CKE80F2E68F8741AF2,True
CK93B547BEA33B1D71,transform,(IFN)-IL-28B,IFN-IL-28B,1,,10,CK7EDCB9AAA3703FCB,True
CKD62D4EB8B440B886,transform,(IFN)-IL-28a,IFN-IL-28a,1,,10,CKE20B497EB588CCF7,True
CKE1BB447ACA95C7FD,transform,(IFN)-IL-28b,IFN-IL-28b,1,,10,CK1615AC42B5A6E33B,True
CKD3504E46D8782B26,transform,(IFN)-IL-29,IFN-IL-29,1,,10,CKFC2B266824DF5A64,True
CK64B2D1068AAA72CC,transform,(IFN)-IL-6,IFN-IL-6,1,,10,CKE27427761C7E95C1,True
CK38AC3528D8E29CFC,transform,(IFN)-LR1,IFN-LR1,1,,10,CK5D079EB969813727,True
CKC5A825030335DAF4,transform,(IFN)-a,IFN-α,1,,10,CK1050C00EDF97BFF2,True
CK93BF4AFBDA013FD4,transform,(IFN)-a1,IFN-α1,1,,10,CKBFF71366B70E4D66,True
CK06A44A6D7AEBEF16,transform,(IFN)-a10,IFN-α10,1,,10,CK01195F8C753113B6,True
CKD213D6CEBDBE68CB,transform,(IFN)-a13,IFN-α13,1,,10,CKFF4CE5FD055AC464,True
CK3B07BFEAC938D503,transform,(IFN)-a14,IFN-α14,1,,10,CK855FCB1F18610463,True
CK2170D6651764DFBD,transform,(IFN)-a16,IFN-α16,1,,10,CKF5B6EDF66B141554,True
CKB4FB031FC7BC4C3A,transform,(IFN)-a17,IFN-α17,1,,10,CKD351C36948C20F0E,True
CKBDCAA8535906CD49,transform,(IFN)-a2,IFN-α2,1,,10,CKD07446D184B98C33,True
CK0241448786752138,transform,(IFN)-a21,IFN-α21,1,,10,CK3EB78699770E9792,True
CKD4CE78DEFF6917D4,transform,(IFN)-a4,IFN-α4,1,,10,CK73B07B75DDF82673,True
CK96941AD5F7FFCD48,transform,(IFN)-a5,IFN-α5,1,,10,CK95CA8EFCDB4E45C9,True
CKF2E0EA48A4368072,transform,(IFN)-a6,IFN-α6,1,,10,CK5A9F70227C9DC426,True
CK7151BF311A80D372,transform,(IFN)-a7,IFN-α7,1,,10,CK959A597E53E1A54D,True
CK20BAC3F089BAC452,transform,(IFN)-a8,IFN-α8,1,,10,CKDE7112F88F62FD80,True
CKC1FFC1353E7A8AFE,transform,(IFN)-alpha,IFN-α,1,,10,CK1050C00EDF97BFF2,True
CK5BC1C18D7C9C4758,transform,(IFN)-alpha1,IFN-α1,1,,10,CKBFF71366B70E4D66,True
CK4E9DC410E55C873D,transform,(IFN)-alpha10,IFN-α10,1,,10,CK01195F8C753113B6,True
CK1FAE7AACE5382CF3,transform,(IFN)-alpha13,IFN-α13,1,,10,CKFF4CE5FD055AC464,True
CK59E24F8395AE57D2,transform,(IFN)-alpha14,IFN-α14,1,,10,CK855FCB1F18610463,True
CK9CF61FB67E06B2B2,transform,(IFN)-alpha16,IFN-α16,1,,10,CKF5B6EDF66B141554,True
CK3E6C7B171FF04B9D,transform,(IFN)-alpha17,IFN-α17,1,,10,CKD351C36948C20F0E,True
CKBDA86997E496C0AC,transform,(IFN)-alpha2,IFN-α2,1,,10,CKD07446D184B98C33,True
CK0292F28CCF87ED0E,transform,(IFN)-alpha21,IFN-α21,1,,10,CK3EB78699770E9792,True
CKDE2E772CEEB1D8C9,transform,(IFN)-alpha4,IFN-α4,1,,10,CK73B07B75DDF82673,True
CK025880B2E4749C9C,transform,(IFN)-alpha5,IFN-α5,1,,10,CK95CA8EFCDB4E45C9,True
CK0BF544EA5698D01F,transform,(IFN)-alpha6,IFN-α6,1,,10,CK5A9F70227C9DC426,True
CK4099D1CE10FBB729,transform,(IFN)-alpha7,IFN-α7,1,,10,CK959A597E53E1A54D,True
CK7C4985745CCCA506,transform,(IFN)-alpha8,IFN-α8,1,,10,CKDE7112F88F62FD80,True
CKA248B299DF836588,transform,(IFN)-b,IFN-β,1,,10,CK43F0C2FBA6152A5F,True
CK0193B14433F01A43,transform,(IFN)-b1,IFN-β1,1,,10,CKDAFFEFAAAA175C48,True
CK5B37480C4BB8AD55,transform,(IFN)-beta,IFN-β,1,,10,CK43F0C2FBA6152A5F,True
CKBFE8C01106C1BC36,transform,(IFN)-beta1,IFN-β1,1,,10,CKDAFFEFAAAA175C48,True
CK1E781B13A526F8E8,transform,(IFN)-e,IFN-ε,1,,10,CKBD9B4EE8B28E077A,True
CKA3694ECC24354E3C,transform,(IFN)-epsilon,IFN-ε,1,,10,CKBD9B4EE8B28E077A,True
CKCFA041B4E878C9C0,transform,(IFN)-g,IFN-γ,1,,10,CKEF3883BE9F74024F,True
CK64A840435F9DBA7B,transform,(IFN)-gamma,IFN-γ,1,,10,CKEF3883BE9F74024F,True
CK8779677537089218,transform,(IFN)-k,IFN-κ,1,,10,CK680E34C75EA5288D,True
CKF66BA7B135620D53,transform,(IFN)-kappa,IFN-κ,1,,10,CK680E34C75EA5288D,True
CK95762F9722021F9B,transform,(IFN)-o,IFN-ω,1,,10,CK802BFF4CE89E4F9B,True
CK30FF6E0DE0AE800E,transform,(IFN)-omega,IFN-ω,1,,10,CK802BFF4CE89E4F9B,True
CK6042A917D90D1B3E,transform,(IFN)-α,IFN-α,1,,10,CK1050C00EDF97BFF2,True
CKDF8570D031189A0B,transform,(IFN)-α1,IFN-α1,1,,10,CKBFF71366B70E4D66,True
CKE2D435DADB836710,transform,(IFN)-α10,IFN-α10,1,,10,CK01195F8C753113B6,True
CK6D20F93ACE4A4E2B,transform,(IFN)-α13,IFN-α13,1,,10,CKFF4CE5FD055AC464,True
CK5B09A4204C905D89,transform,(IFN)-α14,IFN-α14,1,,10,CK855FCB1F18610463,True
CK987D1796F827C2CD,transform,(IFN)-α16,IFN-α16,1,,10,CKF5B6EDF66B141554,True
CK13093E0E71D87184,transform,(IFN)-α17,IFN-α17,1,,10,CKD351C36948C20F0E,True
CK9EB3F3EE7F68DECD,transform,(IFN)-α2,IFN-α2,1,,10,CKD07446D184B98C33,True
CKDB8E1903843F88C1,transform,(IFN)-α21,IFN-α21,1,,10,CK3EB78699770E9792,True
CKC329F707F63843F2,transform,(IFN)-α4,IFN-α4,1,,10,CK73B07B75DDF82673,True
CK18B7075E883EF17C,transform,(IFN)-α5,IFN-α5,1,,10,CK95CA8EFCDB4E45C9,True
CKAA92F2B2CD331DFC,transform,(IFN)-α6,IFN-α6,1,,10,CK5A9F70227C9DC426,True
CK11160E1C4B84DCCE,transform,(IFN)-α7,IFN-α7,1,,10,CK959A597E53E1A54D,True
CK06A53F651B8818A2,transform,(IFN)-α8,IFN-α8,1,,10,CKDE7112F88F62FD80,True
CK60CA4B1452B25CDC,transform,(IFN)-β,IFN-β,1,,10,CK43F0C2FBA6152A5F,True
CK830971412D5B9B59,transform,(IFN)-β1,IFN-β1,1,,10,CKDAFFEFAAAA175C48,True
CKDC084D8D066CBDAD,transform,(IFN)-γ,IFN-γ,1,,10,CKEF3883BE9F74024F,True
CK5D7A981F1A41E8E3,transform,(IFN)-ε,IFN-ε,1,,10,CKBD9B4EE8B28E077A,True
CKE7E912B02B6B7C8B,transform,(IFN)-κ,IFN-κ,1,,10,CK680E34C75EA5288D,True
CK5F197B18402253BA,transform,(IFN)-ω,IFN-ω,1,,10,CK802BFF4CE89E4F9B,True
CK134105C048CA8A04,transform,(IFN)1,IFN-1,1,,10,CK3123548B749F2BEC,True
CK179076EDA6E40EEE,transform,(IFN)AR1,IFN-AR1,1,,10,CK29DF0EE19A802804,True
CKE1AC90ED4402E13E,transform,(IFN)AR2,IFN-AR2,1,,10,CK889C78943FC23083,True
CK30645DB8CBF3CD7F,transform,(IFN)CDw119,IFN-CDw119,1,,10,CKA119E7E918C6B76B,True
CK59B341C517F08328,transform,(IFN)GR2,IFN-GR2,1,,10,CK29C31FC3C80D010F,True
CKB6332F1306373AE1,transform,(IFN)IL-18,IFN-IL-18,1,,10,CK10C9518C520DF4AF,True
CK343D0875F5BCC355,transform,(IFN)IL-28A,IFN-IL-28A,1,,10,CKE80F2E68F8741AF2,True
CK2DAB2C71F1901CE0,transform,(IFN)IL-28B,IFN-IL-28B,1,,10,CK7EDCB9AAA3703FCB,True
CK1E01956E7A22E10F,transform,(IFN)IL-28a,IFN-IL-28a,1,,10,CKE20B497EB588CCF7,True
CK583D593FBACC8D2F,transform,(IFN)IL-28b,IFN-IL-28b,1,,10,CK1615AC42B5A6E33B,True
CK1B4D77497D9B5407,transform,(IFN)IL-29,IFN-IL-29,1,,10,CKFC2B266824DF5A64,True
CK20CC510C90E6FA30,transform,(IFN)IL-6,IFN-IL-6,1,,10,CKE27427761C7E95C1,True
CK236E0176CBBA59CB,transform,(IFN)LR1,IFN-LR1,1,,10,CK5D079EB969813727,True
CKB9DB85F1D9226E3D,transform,(IFN)a,IFN-α,1,,10,CK1050C00EDF97BFF2,True
CK049CA3C689A89BC2,transform,(IFN)a1,IFN-α1,1,,10,CKBFF71366B70E4D66,True
CKB51A30EF5BD0B0E5,transform,(IFN)a10,IFN-α10,1,,10,CK01195F8C753113B6,True
CKE76F1195199C9B66,transform,(IFN)a13,IFN-α13,1,,10,CKFF4CE5FD055AC464,True
CK9BD72FB0C3C3B16F,transform,(IFN)a14,IFN-α14,1,,10,CK855FCB1F18610463,True
CK0E71F8BE3658B390,transform,(IFN)a16,IFN-α16,1,,10,CKF5B6EDF66B141554,True
CK07C72EA383191C7E,transform,(IFN)a17,IFN-α17,1,,10,CKD351C36948C20F0E,True
CK7B1339C4B0B102B8,transform,(IFN)a2,IFN-α2,1,,10,CKD07446D184B98C33,True
CK5F27AFA0220E8A0A,transform,(IFN)a21,IFN-α21,1,,10,CK3EB78699770E9792,True
CK4EAD1DBA47F01EB8,transform,(IFN)a4,IFN-α4,1,,10,CK73B07B75DDF82673,True
CK70BB4C4797124115,transform,(IFN)a5,IFN-α5,1,,10,CK95CA8EFCDB4E45C9,True
CK207F60F7AD0C61A7,transform,(IFN)a6,IFN-α6,1,,10,CK5A9F70227C9DC426,True
CKED8CD3498C21B12E,transform,(IFN)a7,IFN-α7,1,,10,CK959A597E53E1A54D,True
CK1AA1E6B815AF7285,transform,(IFN)a8,IFN-α8,1,,10,CKDE7112F88F62FD80,True
CK94CB6B9F5C91A155,transform,(IFN)alpha,IFN-α,1,,10,CK1050C00EDF97BFF2,True
CK42ABFA0A0DE5EC5C,transform,(IFN)alpha1,IFN-α1,1,,10,CKBFF71366B70E4D66,True
CK2D6ACF0E80484EFB,transform,(IFN)alpha10,IFN-α10,1,,10,CK01195F8C753113B6,True
CK524091EDDEC6FCF8,transform,(IFN)alpha13,IFN-α13,1,,10,CKFF4CE5FD055AC464,True
CK74FE8F8C3F928181,transform,(IFN)alpha14,IFN-α14,1,,10,CK855FCB1F18610463,True
CK8F9880786C1A6EE6,transform,(IFN)alpha16,IFN-α16,1,,10,CKF5B6EDF66B141554,True
CKD5AB18D806D5609B,transform,(IFN)alpha17,IFN-α17,1,,10,CKD351C36948C20F0E,True
CKA397FFA9AF6544BC,transform,(IFN)alpha2,IFN-α2,1,,10,CKD07446D184B98C33,True
CK0BCA8EAACEC7D1D5,transform,(IFN)alpha21,IFN-α21,1,,10,CK3EB78699770E9792,True
CK7E93E6D0576A496A,transform,(IFN)alpha4,IFN-α4,1,,10,CK73B07B75DDF82673,True
CK405C9F69D6525AC9,transform,(IFN)alpha5,IFN-α5,1,,10,CK95CA8EFCDB4E45C9,True
CK4565CEB33D069E84,transform,(IFN)alpha6,IFN-α6,1,,10,CK5A9F70227C9DC426,True
CKB26721EBE6122C7B,transform,(IFN)alpha7,IFN-α7,1,,10,CK959A597E53E1A54D,True
CK31482D96B14A6CB5,transform,(IFN)alpha8,IFN-α8,1,,10,CKDE7112F88F62FD80,True
CK569295DB5A6AB3BF,transform,(IFN)b,IFN-β,1,,10,CK43F0C2FBA6152A5F,True
CKF5BE5B69C9F4B6D0,transform,(IFN)b1,IFN-β1,1,,10,CKDAFFEFAAAA175C48,True
CK455F6B3F45654BA1,transform,(IFN)beta,IFN-β,1,,10,CK43F0C2FBA6152A5F,True
CK91C11EEDA5720814,transform,(IFN)beta1,IFN-β1,1,,10,CKDAFFEFAAAA175C48,True
CK5C310C3B2EF9EB4C,transform,(IFN)e,IFN-ε,1,,10,CKBD9B4EE8B28E077A,True
CKCEAEB729839D428E,transform,(IFN)epsilon,IFN-ε,1,,10,CKBD9B4EE8B28E077A,True
CK9C1DCC534F34890F,transform,(IFN)g,IFN-γ,1,,10,CKEF3883BE9F74024F,True
CKF5A331D97EF0549F,transform,(IFN)gamma,IFN-γ,1,,10,CKEF3883BE9F74024F,True
CKFFB1EB4DF2B063E2,transform,(IFN)k,IFN-κ,1,,10,CK680E34C75EA5288D,True
CK10151164ECD34748,transform,(IFN)kappa,IFN-κ,1,,10,CK680E34C75EA5288D,True
CKDDB7BC468BBD970F,transform,(IFN)o,IFN-ω,1,,10,CK802BFF4CE89E4F9B,True
CK4938F18838A99386,transform,(IFN)omega,IFN-ω,1,,10,CK802BFF4CE89E4F9B,True
CKFE5A0DCB6907997C,transform,(IFN)α,IFN-α,1,,10,CK1050C00EDF97BFF2,True
CK62D526D6594F064F,transform,(IFN)α1,IFN-α1,1,,10,CKBFF71366B70E4D66,True
CK7B5E3B9157EABD25,transform,(IFN)α10,IFN-α10,1,,10,CK01195F8C753113B6,True
CKEAC252337D0F786C,transform,(IFN)α13,IFN-α13,1,,10,CKFF4CE5FD055AC464,True
CKD3D38BDAA1F439E1,transform,(IFN)α14,IFN-α14,1,,10,CK855FCB1F18610463,True
CKDDD5968378B52D74,transform,(IFN)α16,IFN-α16,1,,10,CKF5B6EDF66B141554,True
CK1B9D5E1AEBE0BBBD,transform,(IFN)α17,IFN-α17,1,,10,CKD351C36948C20F0E,True
CKC0C589B0BB0FFCEC,transform,(IFN)α2,IFN-α2,1,,10,CKD07446D184B98C33,True
CK90A20360559A5480,transform,(IFN)α21,IFN-α21,1,,10,CK3EB78699770E9792,True
CKD5A012BFA51ECA81,transform,(IFN)α4,IFN-α4,1,,10,CK73B07B75DDF82673,True
CK8C6133C827411FB6,transform,(IFN)α5,IFN-α5,1,,10,CK95CA8EFCDB4E45C9,True
CKEA291090FCA176CC,transform,(IFN)α6,IFN-α6,1,,10,CK5A9F70227C9DC426,True
CK71511A3E9C1A071D,transform,(IFN)α7,IFN-α7,1,,10,CK959A597E53E1A54D,True
CKDB1D56C5D2A731F5,transform,(IFN)α8,IFN-α8,1,,10,CKDE7112F88F62FD80,True
CKA26FDC0615ABA9B5,transform,(IFN)β,IFN-β,1,,10,CK43F0C2FBA6152A5F,True
CK4F84CE367C785260,transform,(IFN)β1,IFN-β1,1,,10,CKDAFFEFAAAA175C48,True
CKAC6AB0DEF89E5113,transform,(IFN)γ,IFN-γ,1,,10,CKEF3883BE9F74024F,True
CK045E626969A77EE4,transform,(IFN)ε,IFN-ε,1,,10,CKBD9B4EE8B28E077A,True
CKEB91090D41754D94,transform,(IFN)κ,IFN-κ,1,,10,CK680E34C75EA5288D,True
CK96753B445853D54C,transform,(IFN)ω,IFN-ω,1,,10,CK802BFF4CE89E4F9B,True
CKB43BF03452742783,transform,(IL) 1,IL-1,1,,10,CK7F2D5AED41216289,True
CK95BBEFD8228CD3D4,transform,(IL) 1 theta,IL-1 theta,1,,10,CK118582EA52498BCA,True
CK466574394B0D4E46,transform,(IL) 10,IL-10,1,,10,CK8F843985B9BF76B8,True
CKA7740F38240B7F84,transform,(IL) 10RA,IL-10RA,1,,10,CK79839584DE6DC34C,True
CK488824F859F58D5E,transform,(IL) 10RB,IL-10RB,1,,10,CK4C08AABB8212797C,True
CKC1D7E274A90D8EE6,transform,(IL) 11,IL-11,1,,10,CK69B647DD7555FBE1,True
CK933833ACDD2FA017,transform,(IL) 11RA,IL-11RA,1,,10,CKFEB8871A4E407A21,True
CK7ADA236A5F75EDDC,transform,(IL) 12,IL-12,1,,10,CKDE858D3F63FD2E03,True
CK7A6444984B7E26F5,transform,(IL) 12A,IL-12A,1,,10,CKA8881EA1E74968B6,True
CK89ED285A39789368,transform,(IL) 12B,IL-12B,1,,10,CK90EFCE7D1CA4474C,True
CK2D525A8F7C67B941,transform,(IL) 12RB2,IL-12RB2,1,,10,CK7BAEA12A9410C377,True
CKAAC062AA2613B642,transform,(IL) 12a,IL-12α,1,,10,CK36A3D333EE5F11B6,True
CK4974682E9DF3757E,transform,(IL) 12alpha,IL-12α,1,,10,CK36A3D333EE5F11B6,True
CK34D83F3643E00D8F,transform,(IL) 12α,IL-12α,1,,10,CK36A3D333EE5F11B6,True
CKB5F00214E4B6302A,transform,(IL) 13,IL-13,1,,10,CK9CECD914AC9D8D66,True
CK9C2F1CFD4B6394A0,transform,(IL) 14,IL-14,1,,10,CK90E29FB317D34DEB,True
CK40791E439629E82A,transform,(IL) 15,IL-15,1,,10,CKC3DC807F03E113AF,True
CK9F5164ABCD5559D9,transform,(IL) 15Ra,IL-15Ra,1,,10,CKC0A2AC1F0C202522,True
CK8FD38595A80042B5,transform,(IL) 16,IL-16,1,,10,CK951CA80EFE087F1A,True
CK7454864034311EAE,transform,(IL) 17,IL-17,1,,10,CKD3109B315FAD3827,True
CKC130B0322A5ADAB8,transform,(IL) 17A,IL-17A,1,,10,CK08F84BE8FE5B04F8,True
CK328F0B570E6EC0E9,transform,(IL) 17B,IL-17B,1,,10,CK7A623EEFE580F5E4,True
CK04E09691F79D68D0,transform,(IL) 17C,IL-17C,1,,10,CKB4A3371C2DF108AF,True
CKC0BC92D51447E25F,transform,(IL) 17D,IL-17D,1,,10,CK601CA14D27D6B63C,True
CK8E1A7302757D5743,transform,(IL) 17F,IL-17F,1,,10,CKBA257A42EC57B221,True
CK21CDD6DEA36813D0,transform,(IL) 17a,IL-17a,1,,10,CK7E93E453FF75508D,True
CK36607B1FC7EB33D1,transform,(IL) 17b,IL-17b,1,,10,CK5E997BFADCF6314F,True
CK9F2D971762567B96,transform,(IL) 17c,IL-17c,1,,10,CKC69F940F231C6787,True
CK238BBB47C63C9489,transform,(IL) 17d,IL-17d,1,,10,CK22B15FD3D3B19CF9,True
CK3181711851847979,transform,(IL) 17f,IL-17f,1,,10,CK90B73CE7F85A304D,True
CK60EFB4C593A91D1C,transform,(IL) 18,IL-18,1,,10,CK3F77E7B46E9E491A,True
