actor,category,cell_id,cell_label,cytokine_id,cytokine_label,num_papers,score,cell_ref_id,cytokine_ref_id
cell,Positive,CL_0000546,T-helper 2 cell,CID_131,IL4,59,15.88,CTE7B12DC660323A0E,CK6FE135B3F86FB707
cytokine,Positive,CL_0000084,T cell,CID_134,IL7,58,2.05,,CKB3C35A242B11E502
cytokine,Negative,CL_0000084,T cell,CID_110,IL2,58,2.26,,CKD21834C7D75FD77F
cell,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_110,IL2,57,2.12,,CKD21834C7D75FD77F
cell,Positive,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_93,IL10,57,7.93,CTB574584AD019ABB8,CKC5CC1A269C01EC48
cytokine,Positive,CL_0000545,T-helper 1 cell,CID_95,IL12,56,11.77,CTC3A8C3CBC245616A,CKB4EB2D2CC8BBB93D
cell,Positive,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_110,IL2,54,3.92,CTB574584AD019ABB8,CKD21834C7D75FD77F
cell,Positive,CL_0000899,T-helper 17 cell,CID_102,IL17,53,55.2,CTBFBDE5121B6748D1,CK2741EFAE1F31AD65
cytokine,Unknown,CL_0000084,T cell,CID_134,IL7,52,6.36,,CKB3C35A242B11E502
cytokine,Unknown,CL_0000084,T cell,CID_93,IL10,51,1.69,,CKC5CC1A269C01EC48
cell,Positive,CL_0000084,T cell,CID_162,TGFB,50,0.78,,CKFD4CA0B2B4BC3AE4
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_102,IL17,50,9.71,,CK2741EFAE1F31AD65
cell,Positive,CL_0000084,T cell,CID_133,IL6,49,0.67,,CK0CBC35CD2AB7D661
cytokine,Negative,CL_0000084,T cell,CID_93,IL10,49,3.63,,CKC5CC1A269C01EC48
cell,Positive,CL_0000084,T cell,CID_132,IL5,48,2.53,,CK7026891CEAA3C8F9
cytokine,Positive,CL_0000084,T cell,CID_174,TNF,47,0.24,,CK80A1A727AC173EE7
cytokine,Positive,CL_0000084,T cell,CID_131,IL4,44,0.49,,CK6FE135B3F86FB707
cytokine,Unknown,CL_0000084,T cell,CID_162,TGFB,42,1.58,,CKFD4CA0B2B4BC3AE4
cytokine,Unknown,CL_0000084,T cell,CID_174,TNF,42,0.74,,CK80A1A727AC173EE7
cytokine,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_110,IL2,41,0.9,,CKD21834C7D75FD77F
cytokine,Unknown,CL_0000084,T cell,CID_131,IL4,41,1.54,,CK6FE135B3F86FB707
cytokine,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_110,IL2,39,0.99,,CKD21834C7D75FD77F
cell,Positive,CL_0000893,thymocyte,CID_87,IL1,39,22.38,CTFE4015328B70D553,CK9AD30D131EB41CDD
cell,Positive,CL_0000084,T cell,CID_134,IL7,39,1.94,,CKB3C35A242B11E502
cytokine,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_83,IFNG,39,0.67,,CK128EC732B281BF60
cell,Positive,CL_0000893,thymocyte,CID_110,IL2,38,6.6,CTFE4015328B70D553,CKD21834C7D75FD77F
cytokine,Unknown,CL_0000084,T cell,CID_95,IL12,38,2.46,,CKB4EB2D2CC8BBB93D
cytokine,Negative,CL_0000084,T cell,CID_83,IFNG,37,1.0,,CK128EC732B281BF60
cytokine,Unknown,CL_0000624,"CD4-positive, alpha-beta T cell",CID_83,IFNG,35,1.82,,CK128EC732B281BF60
cytokine,Positive,CL_0000084,T cell,CID_100,IL15,34,1.6,,CKD8543B44DC5A3B55
cell,Positive,CL_0000084,T cell,CID_87,IL1,34,0.88,,CK9AD30D131EB41CDD
cell,Positive,CL_0000084,T cell,CID_100,IL15,34,2.17,,CKD8543B44DC5A3B55
cytokine,Unknown,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_110,IL2,34,5.54,CTB574584AD019ABB8,CKD21834C7D75FD77F
cell,Positive,CL_0000084,T cell,CID_63,CSF2,33,0.87,,CKF6FDD69AB8889E23
cytokine,Unknown,CL_0000624,"CD4-positive, alpha-beta T cell",CID_110,IL2,32,2.4,,CKD21834C7D75FD77F
cell,Positive,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_83,IFNG,32,1.52,CTB574584AD019ABB8,CK128EC732B281BF60
cytokine,Positive,CL_0000546,T-helper 2 cell,CID_131,IL4,31,5.47,CTE7B12DC660323A0E,CK6FE135B3F86FB707
cell,Positive,CL_0000084,T cell,CID_173,TNFSF9,30,4.47,,CK16DB62C0EE32FCFC
cell,Positive,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_162,TGFB,30,4.14,CTB574584AD019ABB8,CKFD4CA0B2B4BC3AE4
cytokine,Positive,CL_0000084,T cell,CID_87,IL1,30,0.48,,CK9AD30D131EB41CDD
cytokine,Positive,CL_0000084,T cell,CID_63,CSF2,29,0.45,,CKF6FDD69AB8889E23
cytokine,Unknown,CL_0000546,T-helper 2 cell,CID_131,IL4,28,17.28,CTE7B12DC660323A0E,CK6FE135B3F86FB707
cytokine,Unknown,CL_0000545,T-helper 1 cell,CID_95,IL12,28,20.24,CTC3A8C3CBC245616A,CKB4EB2D2CC8BBB93D
cytokine,Unknown,CL_0000545,T-helper 1 cell,CID_83,IFNG,28,3.69,CTC3A8C3CBC245616A,CK128EC732B281BF60
cytokine,Positive,CL_0000084,T cell,CID_162,TGFB,28,0.28,,CKFD4CA0B2B4BC3AE4
cytokine,Positive,CL_0000084,T cell,CID_8,CD40LG,27,0.83,,CK5D414D323B3B33D2
cytokine,Positive,CL_0000084,T cell,CID_133,IL6,27,0.25,,CK0CBC35CD2AB7D661
cell,Positive,CL_0000084,T cell,CID_67,IFNA,26,0.95,,CKE12753E3C9BCBB59
cell,Positive,CL_0000084,T cell,CID_163,TGFB1,26,0.55,,CKFD4CA0B2B4BC3AE4
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_174,TNF,26,0.81,,CK80A1A727AC173EE7
cytokine,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_83,IFNG,26,0.39,,CK128EC732B281BF60
cytokine,Negative,CL_0000084,T cell,CID_162,TGFB,26,2.11,,CKFD4CA0B2B4BC3AE4
cytokine,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_100,IL15,25,5.72,,CKD8543B44DC5A3B55
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_8,CD40LG,24,4.96,,CK5D414D323B3B33D2
cytokine,Positive,CL_0000084,T cell,CID_67,IFNA,24,0.6,,CKE12753E3C9BCBB59
cytokine,Unknown,CL_0000625,"CD8-positive, alpha-beta T cell",CID_110,IL2,23,2.0,,CKD21834C7D75FD77F
cytokine,Unknown,CL_0000084,T cell,CID_67,IFNA,23,1.92,,CKE12753E3C9BCBB59
cytokine,Unknown,CL_0000084,T cell,CID_133,IL6,23,0.74,,CK0CBC35CD2AB7D661
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_95,IL12,22,2.76,,CKB4EB2D2CC8BBB93D
cell,Positive,CL_0000084,T cell,CID_103,IL17A,21,2.47,,CK08F84BE8FE5B04F8
cytokine,Positive,CL_0000084,T cell,CID_173,TNFSF9,21,2.42,,CK16DB62C0EE32FCFC
cell,Positive,CL_0000084,T cell,CID_52,CXCL8,20,0.51,,CK58096F4C0F74908C
cytokine,Positive,CL_0000910,cytotoxic T cell,CID_110,IL2,20,4.73,CT231C4EC31B01615E,CKD21834C7D75FD77F
cell,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_93,IL10,19,1.34,,CKC5CC1A269C01EC48
cell,Positive,CL_0000912,helper T cell,CID_110,IL2,19,8.59,CTB7DFCED683E6F0A9,CKD21834C7D75FD77F
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_112,IL21,19,7.71,,CK284ADEA6187E1FF3
cytokine,Positive,CL_0000893,thymocyte,CID_110,IL2,18,2.06,CTFE4015328B70D553,CKD21834C7D75FD77F
cytokine,Positive,CL_0000084,T cell,CID_108,IL18,18,1.13,,CKBF6003C60D23BA0D
cytokine,Positive,CL_0000545,T-helper 1 cell,CID_83,IFNG,18,0.68,CTC3A8C3CBC245616A,CK128EC732B281BF60
cytokine,Unknown,CL_0000084,T cell,CID_63,CSF2,18,1.08,,CKF6FDD69AB8889E23
cytokine,Unknown,CL_0000084,T cell,CID_8,CD40LG,18,1.93,,CK5D414D323B3B33D2
cytokine,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_131,IL4,18,0.85,,CK6FE135B3F86FB707
cytokine,Unknown,CL_0000084,T cell,CID_173,TNFSF9,18,7.07,,CK16DB62C0EE32FCFC
cell,Positive,CL_0000899,T-helper 17 cell,CID_103,IL17A,18,54.04,CTBFBDE5121B6748D1,CK08F84BE8FE5B04F8
cytokine,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_112,IL21,17,5.76,,CK284ADEA6187E1FF3
cytokine,Positive,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_162,TGFB,17,1.59,CTB574584AD019ABB8,CKFD4CA0B2B4BC3AE4
cell,Positive,CL_0000912,helper T cell,CID_102,IL17,17,44.59,CTB7DFCED683E6F0A9,CK2741EFAE1F31AD65
cytokine,Unknown,CL_0000084,T cell,CID_87,IL1,17,0.96,,CK9AD30D131EB41CDD
cell,Positive,CL_0000910,cytotoxic T cell,CID_83,IFNG,17,4.11,CT231C4EC31B01615E,CK128EC732B281BF60
cytokine,Unknown,CL_0000625,"CD8-positive, alpha-beta T cell",CID_95,IL12,16,5.28,,CKB4EB2D2CC8BBB93D
cell,Positive,CL_0000084,T cell,CID_98,IL13,16,2.55,,CK713350DF0E9099E8
cell,Positive,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_102,IL17,16,6.78,CTB574584AD019ABB8,CK2741EFAE1F31AD65
cytokine,Negative,CL_0000084,T cell,CID_174,TNF,16,0.62,,CK80A1A727AC173EE7
cytokine,Unknown,CL_0000084,T cell,CID_100,IL15,16,2.42,,CKD8543B44DC5A3B55
cytokine,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_95,IL12,16,1.51,,CKB4EB2D2CC8BBB93D
cytokine,Negative,CL_0000084,T cell,CID_95,IL12,16,2.36,,CKB4EB2D2CC8BBB93D
cell,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_174,TNF,16,0.58,,CK80A1A727AC173EE7
cell,Positive,CL_0000084,T cell,CID_112,IL21,16,1.49,,CK284ADEA6187E1FF3
cell,Positive,CL_0000545,T-helper 1 cell,CID_93,IL10,16,2.35,CTC3A8C3CBC245616A,CKC5CC1A269C01EC48
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_133,IL6,15,0.86,,CK0CBC35CD2AB7D661
cytokine,Unknown,CL_0000624,"CD4-positive, alpha-beta T cell",CID_93,IL10,15,2.06,,CKC5CC1A269C01EC48
cytokine,Negative,CL_0000084,T cell,CID_163,TGFB1,15,1.69,,CKFD4CA0B2B4BC3AE4
cytokine,Unknown,CL_0000545,T-helper 1 cell,CID_93,IL10,15,5.23,CTC3A8C3CBC245616A,CKC5CC1A269C01EC48
cytokine,Unknown,CL_0000084,T cell,CID_102,IL17,15,1.49,,CK2741EFAE1F31AD65
cell,Positive,CL_0000813,memory T cell,CID_83,IFNG,15,10.27,CT1C58993C5B5BD3B8,CK128EC732B281BF60
cytokine,Unknown,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_162,TGFB,15,5.57,CTB574584AD019ABB8,CKFD4CA0B2B4BC3AE4
cytokine,Positive,CL_0000893,thymocyte,CID_87,IL1,15,6.45,CTFE4015328B70D553,CK9AD30D131EB41CDD
cytokine,Unknown,CL_0000084,T cell,CID_20,CCL2,14,0.92,,CKCDB807A64FAA7FA0
cytokine,Unknown,CL_0000625,"CD8-positive, alpha-beta T cell",CID_112,IL21,14,15.9,,CK284ADEA6187E1FF3
cytokine,Negative,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_162,TGFB,14,11.2,CTB574584AD019ABB8,CKFD4CA0B2B4BC3AE4
cytokine,Unknown,CL_0000625,"CD8-positive, alpha-beta T cell",CID_100,IL15,14,10.79,,CKD8543B44DC5A3B55
cell,Positive,CL_0000798,gamma-delta T cell,CID_83,IFNG,14,10.92,CT7DC8DD80306E71A2,CK128EC732B281BF60
cell,Positive,CL_0000084,T cell,CID_140,LTA,14,5.95,,CKA81D1188A3F3D1E3
cytokine,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_93,IL10,14,0.59,,CKC5CC1A269C01EC48
cytokine,Unknown,CL_0000084,T cell,CID_52,CXCL8,14,0.74,,CK58096F4C0F74908C
cytokine,Unknown,CL_0000084,T cell,CID_112,IL21,13,2.71,,CK284ADEA6187E1FF3
cell,Positive,CL_0000901,Tr1 cell,CID_93,IL10,13,33.83,CT301EB268E263D718,CKC5CC1A269C01EC48
cytokine,Positive,CL_0000545,T-helper 1 cell,CID_93,IL10,13,1.29,CTC3A8C3CBC245616A,CKC5CC1A269C01EC48
cell,Positive,CL_0000815,regulatory T cell,CID_93,IL10,13,10.08,CTB574584AD019ABB8,CKC5CC1A269C01EC48
cytokine,Unknown,CL_0000084,T cell,CID_38,CXCL10,13,4.9,,CKC45AAE24CED79E33
cytokine,Positive,CL_0000084,T cell,CID_163,TGFB1,13,0.17,,CKFD4CA0B2B4BC3AE4
cytokine,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_95,IL12,13,1.14,,CKB4EB2D2CC8BBB93D
cytokine,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_162,TGFB,13,0.7,,CKFD4CA0B2B4BC3AE4
cytokine,Unknown,CL_0000624,"CD4-positive, alpha-beta T cell",CID_131,IL4,13,2.14,,CK6FE135B3F86FB707
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_103,IL17A,12,5.92,,CK08F84BE8FE5B04F8
cytokine,Negative,CL_0000545,T-helper 1 cell,CID_93,IL10,12,9.53,CTC3A8C3CBC245616A,CKC5CC1A269C01EC48
cell,Positive,CL_0000898,naive T cell,CID_110,IL2,12,7.46,CT591AB86BE24D7A57,CKD21834C7D75FD77F
cell,Positive,CL_0000545,T-helper 1 cell,CID_110,IL2,12,0.96,CTC3A8C3CBC245616A,CKD21834C7D75FD77F
cytokine,Negative,CL_0000084,T cell,CID_81,IFNB1,12,6.37,,CKDAFFEFAAAA175C48
cytokine,Unknown,CL_0000624,"CD4-positive, alpha-beta T cell",CID_134,IL7,12,6.71,,CKB3C35A242B11E502
cytokine,Unknown,CL_0000625,"CD8-positive, alpha-beta T cell",CID_173,TNFSF9,12,21.55,,CK16DB62C0EE32FCFC
cytokine,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_93,IL10,12,0.59,,CKC5CC1A269C01EC48
cell,Positive,CL_0000546,T-helper 2 cell,CID_83,IFNG,12,0.99,CTE7B12DC660323A0E,CK128EC732B281BF60
cytokine,Unknown,CL_0000624,"CD4-positive, alpha-beta T cell",CID_95,IL12,12,4.27,,CKB4EB2D2CC8BBB93D
cell,Positive,CL_0000814,mature NK T cell,CID_83,IFNG,12,7.2,CT459998F048BE65F2,CK128EC732B281BF60
cytokine,Negative,CL_0000084,T cell,CID_134,IL7,12,3.22,,CKB3C35A242B11E502
cytokine,Positive,CL_0000084,T cell,CID_40,CXCL12,12,0.66,,CKF44FAAE0BD64C34C
cell,Positive,CL_0000546,T-helper 2 cell,CID_93,IL10,11,2.39,CTE7B12DC660323A0E,CKC5CC1A269C01EC48
cytokine,Positive,CL_0000084,T cell,CID_81,IFNB1,11,0.73,,CKDAFFEFAAAA175C48
cell,Positive,CL_0000911,effector T cell,CID_83,IFNG,11,4.4,CTDD003CDBE64E4F0A,CK128EC732B281BF60
cell,Positive,CL_0000545,T-helper 1 cell,CID_102,IL17,11,5.12,CTC3A8C3CBC245616A,CK2741EFAE1F31AD65
cytokine,Positive,CL_0000546,T-helper 2 cell,CID_128,IL33,11,13.53,CTE7B12DC660323A0E,CK3B4A795DF4150CF4
cell,Positive,CL_0000084,T cell,CID_125,IL3,11,0.99,,CKD3CA24A839C1B6E8
cytokine,Unknown,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_93,IL10,11,3.28,CTB574584AD019ABB8,CKC5CC1A269C01EC48
cytokine,Unknown,CL_0000910,cytotoxic T cell,CID_83,IFNG,11,6.31,CT231C4EC31B01615E,CK128EC732B281BF60
cytokine,Negative,CL_0000625,"CD8-positive, alpha-beta T cell",CID_83,IFNG,11,1.51,,CK128EC732B281BF60
cell,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_134,IL7,10,2.78,,CKB3C35A242B11E502
cytokine,Positive,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_133,IL6,10,0.85,CTB574584AD019ABB8,CK0CBC35CD2AB7D661
cytokine,Negative,CL_0000624,"CD4-positive, alpha-beta T cell",CID_83,IFNG,10,1.18,,CK128EC732B281BF60
cell,Positive,CL_0002061,T-helper 9 cell,CID_135,IL9,10,1161.35,CT6972E212EE0037B5,CK6559F42B7F080788
cytokine,Positive,CL_0000084,T cell,CID_62,CSF3,10,0.17,,CK42C846A199F37E97
cytokine,Negative,CL_0000084,T cell,CID_131,IL4,10,0.94,,CK6FE135B3F86FB707
cell,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_132,IL5,10,2.13,,CK7026891CEAA3C8F9
cell,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_131,IL4,10,1.05,,CK6FE135B3F86FB707
cell,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_102,IL17,10,2.12,,CK2741EFAE1F31AD65
cytokine,Unknown,CL_0000084,T cell,CID_40,CXCL12,10,1.55,,CKF44FAAE0BD64C34C
cytokine,Unknown,CL_0000899,T-helper 17 cell,CID_102,IL17,10,23.8,CTBFBDE5121B6748D1,CK2741EFAE1F31AD65
cytokine,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_134,IL7,10,2.4,,CKB3C35A242B11E502
cell,Positive,CL_0000084,T cell,CID_41,CXCL13,10,3.34,,CKAF088D9A9E3E4FEC
cytokine,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_134,IL7,10,1.62,,CKB3C35A242B11E502
cytokine,Unknown,CL_0000545,T-helper 1 cell,CID_131,IL4,10,4.6,CTC3A8C3CBC245616A,CK6FE135B3F86FB707
cell,Positive,CL_0000815,regulatory T cell,CID_163,TGFB1,10,11.5,CTB574584AD019ABB8,CKFD4CA0B2B4BC3AE4
cytokine,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_173,TNFSF9,10,6.16,,CK16DB62C0EE32FCFC
cytokine,Negative,CL_0000084,T cell,CID_100,IL15,10,3.45,,CKD8543B44DC5A3B55
cytokine,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_131,IL4,10,0.55,,CK6FE135B3F86FB707
cytokine,Positive,CL_0000084,T cell,CID_112,IL21,9,0.6,,CK284ADEA6187E1FF3
cytokine,Negative,CL_0000084,T cell,CID_173,TNFSF9,9,7.24,,CK16DB62C0EE32FCFC
cytokine,Negative,CL_0000899,T-helper 17 cell,CID_500,IL27,9,233.6,CTBFBDE5121B6748D1,CKBA47332D395669A3
cytokine,Unknown,CL_0000893,thymocyte,CID_110,IL2,9,3.61,CTFE4015328B70D553,CKD21834C7D75FD77F
cell,Positive,CL_0000893,thymocyte,CID_131,IL4,9,3.72,CTFE4015328B70D553,CK6FE135B3F86FB707
cytokine,Negative,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_110,IL2,9,3.34,CTB574584AD019ABB8,CKD21834C7D75FD77F
cytokine,Unknown,CL_0000624,"CD4-positive, alpha-beta T cell",CID_102,IL17,9,3.91,,CK2741EFAE1F31AD65
cytokine,Positive,CL_0000546,T-helper 2 cell,CID_93,IL10,9,1.47,CTE7B12DC660323A0E,CKC5CC1A269C01EC48
cell,Positive,CL_0000917,Tc1 cell,CID_83,IFNG,9,17.74,CT205A00BF9BAE8E8E,CK128EC732B281BF60
cell,Positive,CL_0000084,T cell,CID_31,CCL5,9,3.29,,CKA5462DC0F090F548
cytokine,Unknown,CL_0000546,T-helper 2 cell,CID_95,IL12,9,9.6,CTE7B12DC660323A0E,CKB4EB2D2CC8BBB93D
cytokine,Unknown,CL_0000084,T cell,CID_81,IFNB1,9,2.1,,CKDAFFEFAAAA175C48
cytokine,Unknown,CL_0000084,T cell,CID_108,IL18,9,2.08,,CKBF6003C60D23BA0D
cytokine,Positive,CL_0000084,T cell,CID_20,CCL2,9,0.16,,CKCDB807A64FAA7FA0
cell,Positive,CL_0001042,T-helper 22 cell,CID_113,IL22,9,570.26,CT6312BB928ADE8934,CK3FDAFD137F96385F
cytokine,Negative,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_83,IFNG,8,2.06,CTB574584AD019ABB8,CK128EC732B281BF60
cytokine,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_163,TGFB1,8,0.47,,CKFD4CA0B2B4BC3AE4
cytokine,Negative,CL_0000624,"CD4-positive, alpha-beta T cell",CID_110,IL2,8,1.36,,CKD21834C7D75FD77F
cytokine,Unknown,CL_0000893,thymocyte,CID_87,IL1,8,10.62,CTFE4015328B70D553,CK9AD30D131EB41CDD
cell,Positive,CL_0000546,T-helper 2 cell,CID_132,IL5,8,7.2,CTE7B12DC660323A0E,CK7026891CEAA3C8F9
cytokine,Unknown,CL_0000815,regulatory T cell,CID_110,IL2,8,8.03,CTB574584AD019ABB8,CKD21834C7D75FD77F
cell,Positive,CL_0000084,T cell,CID_113,IL22,8,1.56,,CK3FDAFD137F96385F
cytokine,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_133,IL6,8,0.31,,CK0CBC35CD2AB7D661
cell,Positive,CL_0000084,T cell,CID_20,CCL2,8,0.21,,CKCDB807A64FAA7FA0
cell,Positive,CL_0000794,"CD8-positive, alpha-beta cytotoxic T cell",CID_83,IFNG,8,6.31,CT231C4EC31B01615E,CK128EC732B281BF60
cytokine,Negative,CL_0000624,"CD4-positive, alpha-beta T cell",CID_93,IL10,8,2.5,,CKC5CC1A269C01EC48
cytokine,Positive,CL_0000901,Tr1 cell,CID_93,IL10,8,14.11,CT301EB268E263D718,CKC5CC1A269C01EC48
cytokine,Unknown,CL_0000084,T cell,CID_163,TGFB1,8,0.37,,CKFD4CA0B2B4BC3AE4
cell,Positive,CL_0000898,naive T cell,CID_131,IL4,8,12.3,CT591AB86BE24D7A57,CK6FE135B3F86FB707
cell,Positive,CL_0000546,T-helper 2 cell,CID_128,IL33,8,14.52,CTE7B12DC660323A0E,CK3B4A795DF4150CF4
cytokine,Positive,CL_0000084,T cell,CID_38,CXCL10,8,0.97,,CKC45AAE24CED79E33
cytokine,Negative,CL_0000084,T cell,CID_63,CSF2,8,0.99,,CKF6FDD69AB8889E23
cytokine,Positive,CL_0000545,T-helper 1 cell,CID_108,IL18,7,4.63,CTC3A8C3CBC245616A,CKBF6003C60D23BA0D
cell,Positive,CL_0000912,helper T cell,CID_131,IL4,7,6.96,CTB7DFCED683E6F0A9,CK6FE135B3F86FB707
cell,Positive,CL_0000545,T-helper 1 cell,CID_131,IL4,7,1.23,CTC3A8C3CBC245616A,CK6FE135B3F86FB707
cell,Positive,CL_0000912,helper T cell,CID_83,IFNG,7,2.19,CTB7DFCED683E6F0A9,CK128EC732B281BF60
cytokine,Unknown,CL_0000625,"CD8-positive, alpha-beta T cell",CID_174,TNF,7,0.6,,CK80A1A727AC173EE7
cell,Positive,CL_0000084,T cell,CID_101,IL16,7,3.48,,CKDFA193E8843A3153
cell,Positive,CL_0000546,T-helper 2 cell,CID_98,IL13,7,11.76,CTE7B12DC660323A0E,CK713350DF0E9099E8
cytokine,Positive,CL_0000545,T-helper 1 cell,CID_131,IL4,7,0.84,CTC3A8C3CBC245616A,CK6FE135B3F86FB707
cytokine,Unknown,CL_0000545,T-helper 1 cell,CID_108,IL18,7,16.2,CTC3A8C3CBC245616A,CKBF6003C60D23BA0D
cytokine,Unknown,CL_0000546,T-helper 2 cell,CID_93,IL10,7,3.6,CTE7B12DC660323A0E,CKC5CC1A269C01EC48
cytokine,Positive,CL_0000624,"CD4-positive, alpha-beta T cell",CID_174,TNF,7,0.15,,CK80A1A727AC173EE7
cytokine,Positive,CL_0000899,T-helper 17 cell,CID_133,IL6,7,1.49,CTBFBDE5121B6748D1,CK0CBC35CD2AB7D661
cytokine,Unknown,CL_0000911,effector T cell,CID_83,IFNG,7,6.64,CTDD003CDBE64E4F0A,CK128EC732B281BF60
cytokine,Unknown,CL_0000792,"CD4-positive, CD25-positive, alpha-beta regulatory T cell",CID_133,IL6,7,2.37,CTB574584AD019ABB8,CK0CBC35CD2AB7D661
cell,Positive,CL_0000625,"CD8-positive, alpha-beta T cell",CID_112,IL21,7,3.58,,CK284ADEA6187E1FF3
